doi,is_relevant,journal,explanation,topic_words,authors,title,abstract
10.5194/acp-26-9083-2026,True,Atmospheric Chemistry and Physics,该论文研究了亚洲季风空气在上下层大气中的混合，使用了多物种分类和三维层析观测技术，涉及大气成分分析和卫星观测技术，与大气环境遥感技术密切相关。,"['air quality monitoring', 'satellite observations', 'atmospheric composition analysis', 'aerosol retrieval', 'GLORIA']",Jan Kaumanns;Jörn Ungermann;Bärbel Vogel;Sören Johansson;Erik Kretschmer;Felix Plöger;Peter Preuße;Wolfgang Woiwode;Martin Riese,Quantification of inmixing of Asian Monsoon air by multi-species classification in a match flight experiment,"During the PHILEAS aircraft campaign a self-matching experiment was conducted to study the mixing of Asian Summer monsoon air into the upper troposphere – lower stratosphere. We present the first 3-D tomographic observations of this mixing for multiple trace gas species. We use advanced clustering to identify the types of air and their transport pathways, particularly into the stratosphere. Simulations of surface-origin tracers link several of these air types to different source regions. 
 Mixing of air between compartments of the atmosphere is fundamental to atmospheric composition. Such mixing is commonly studied using tracer-tracer correlations. We generalize this approach by statistical classification methods using several tracers to quantify mixing. This paper presents a matching flight-experiment of a filament of Asian monsoon air in the Upper Troposphere/Lower Stratosphere (UTLS) off the Alaskan coast by two flights of the High Altitude and Long Range research aircraft (HALO) conducted during the “Probing High Latitude Export of air from the Asian Summer Monsoon (PHILEAS)” campaign. The 3-D structure of the filament was revealed by tomographic observations by the Gimballed Limb Observer for Radiance Imaging of the Atmosphere (GLORIA) of five trace species. The observed tracer mixing ratios show evidence for a tropopause folding linked to a Rossby wave breaking event. Using a Gaussian mixture model to cluster our observations by similarity we identify five classes of air masses: tropospheric air (both continental and maritime), Asian Summer Monsoon outflow (ASMO), mixed air and stratospheric air. Trajectory calculations are carried out to identify air masses which are observed in both flights.The unique 3-D observations allow us to reveal the spatial structure of the mixing processes. Particularly, mixing of ASMO air directly with stratospheric air and into the UTLS are shown. Comparing the classification to simulated artificial surface-origin tracers in the Chemical Lagrangian Model of the Stratosphere (CLaMS), we find strong evidence for distinctly correlated air masses to originate within different source regions within the Asian monsoon region."
10.5194/gmd-19-5553-2026,True,Geoscientific Model Development,该研究涉及使用机器学习技术改进全球气候模型中的降水特征，这与大气环境遥感技术中的卫星观测和大气成分分析密切相关。研究使用了全球风暴解析模型和全球降水测量数据，旨在提高气候模拟的准确性，从而对大气环境监测具有重要意义。,"['Global Storm Resolving Model (GSRM)', 'Global Climate Model (GCM)', 'machine learning', 'precipitation climatic characteristics', 'Global Precipitation Measurement (GPM)']",Yiming Wang;Yi Zhang;Yilun Han;Wei Xue;Tianru Chen;Yihui Zhou;Xiaohan Li;Haishan Chen,Global climate modeling with improved precipitation  characteristics by learning physics (GRIST-MPS v1.0)  from global storm-resolving modeling,"This study demonstrates that short-period Global Storm Resolving Model (GSRM) simulations can inform long-term Global Climate Model (GCM) integrations through a machine-learning-based physics suite. With 80 d of GSRM-derived training data, the hybrid model achieves stable multiyear climate simulations and improved precipitation climatic characteristics. 
 This study develops a machine learning (ML)-based physics parameterization suite trained on 80 d global storm-resolving model (GSRM) simulation data (5 km), with the aim of replacing all conventional physics tendencies in a general circulation model (GCM, 120 km) for real-world simulations with realistic surface topography. The GSRM data are generated using the Global–Regional Integrated Forecast System (GRIST) and subsequently coarse-grained, after which the residual method is applied to derive the corresponding GCM physics tendencies. The resulting workflow relies on standardized pressure-level variables as input features, enabling the GCM – through physics–dynamics coupling – to effectively emulate the multiscale flow interactions captured by the GSRM. This ML-enhanced GCM sustains stable 6-year Atmospheric Model Intercomparison Project (AMIP) type simulations and produces a realistic climatology comparable to that of a skillful GCM. It effectively mitigates the biases of excessively strong rainbands and an overly wide ITCZ in the conventional configuration, when compared with the Global Precipitation Measurement (GPM) data. Moreover, the hybrid ML-GCM better captures precipitation frequency, notably mitigating the overproduction of light tropical rainfall. Sensitivity experiments using different neural network architectures (ResNet, CNN, MLP) demonstrate that all configurations can maintain long-term simulation stability, with ResNet showing superior simulation accuracy. This work presents a transferable framework that leverages km-scale GSRM data to enhance GCM performance via ML integration, offering a potential route to reduce the gaps between two modeling paradigms."
10.1029/2026AV002465,True,AGU Advances,该论文与大气环境遥感技术相关，因为研究内容涉及地球辐射带中的相对论电子降水到大气层中的现象，这与大气成分分析和电离层研究相关，是遥感技术的一个重要应用领域。,"['relativistic electrons', 'radiation belts', 'atmosphere']",A. V. Artemyev,Precipitation of Relativistic Electrons Into Atmosphere From Earth's Radiation Belts,
10.1029/2026GL122221,True,Geophysical Research Letters,该论文研究了2023-2024年大气CO2增长率的驱动因素，并利用Greenhouse gases Observing SATellite (GOSAT)的观测数据进行分析，这与大气环境遥感技术（如空气质量监测、卫星观测、大气成分分析）密切相关。,"['Greenhouse gases Observing SATellite (GOSAT)', 'CO2 flux inversion', 'atmospheric CO2 growth', 'air quality monitoring']",Suman Maity;Yosuke Niwa;Tazu Saeki;Yu Someya;Yukio Yoshida,Drivers of 2023–2024 Atmospheric CO2 Growth: Role of Northern Mid‐to‐High Latitude Land Carbon Cycle,"The global atmospheric CO2 growth rate in 2023–2024 reached an unprecedented level, exceeding all records since modern monitoring began. Using a CO2 flux inversion, constrained by column‐averaged CO2 observations from Greenhouse gases Observing SATellite (GOSAT), we investigated spatio‐temporal drivers of this anomaly. The 2023–2024 El Niño seem to have increased non‐fossil CO2 fluxes globally; however, unlike the former big 2015–2016 El Niño, which was dominated by tropical anomalies (0.96 PgC year−1), the 2023–2024 event exhibited not only distinct tropical increases (1.11 Pg C year−1) but also notable weakening of net CO2 uptake (0.42 PgC year−1) across northern mid‐to‐high latitudes, whose flux variations have less sensitivity to El Niño in the past. The flux variability in the northern mid‐to‐high latitudes was primarily temperature‐associated, while fire emissions contributed only weakly and episodically."
10.1029/2025GL121042,True,Geophysical Research Letters,该论文研究的是高纬度电离层中的湍流等离子体波，特别是Farley–Buneman湍流，这属于大气环境遥感技术中的空间天气和电离层研究的范畴。论文使用了动力学3D粒子-网格模拟方法，这与卫星观测和大气成分分析技术相关。因此，该论文与大气环境遥感技术密切相关。,"['ionosphere', 'turbulent plasma waves', 'Farley–Buneman turbulence', 'electrojet', 'space weather']",Meers Oppenheim;Y. Dimant;R. Koontaweepunya;A. Q. Green;S. Evans,First Kinetic 3‐D Simulations of the High‐Latitude Electrojet Spanning an Entire Turbulent Flux Tube,"Radar and rocket observations of the terrestrial ionosphere frequently measure turbulent plasma waves, especially during geospace storms. The non‐linear behavior of these waves remains poorly characterized. This paper presents the first fully kinetic 3‐D particle‐in‐cell simulations of Farley–Buneman (FB) turbulence spanning an entire high‐latitude ionospheric column from strongly collisional to nearly collisionless altitudes. These waves initially develop coherent density perturbations spanning kilometers along B⃗ $\vec{B}$, having dominant flow angles that increase with altitude. As the FB turbulence saturates, energy cascades to longer wavelengths and spreads in k⃗ $\vec{k}$‐space. These simulations show turbulence‐driven electron heating and anomalous electron transport with a 21% enhancement in height‐integrated conductance for a system driven by an E0=105 ${E}_{0}=105$ mV/m external field. Simulations like these will improve interpretations of observations and modeling of turbulence‐modified conductivities for space‐weather simulations."
10.1029/2025GL120923,True,Geophysical Research Letters,该论文研究大气-陆地-海洋耦合全球数值天气预报系统，评估了海洋-大气耦合对印度夏季季风短期和中期预报的影响，涉及大气成分分析、海洋表面温度监测和水分输送等，与大气环境遥感技术（如空气质量监测、卫星观测、大气成分分析、气溶胶反演）密切相关。,"['atmosphere–land–ocean coupling', 'NWP system', 'monsoon prediction', 'SST variability', 'air–sea coupling']",Sumit Kumar;Imranali M. Momin;Sukhwinder Kaur;Kondapalli Niranjan Kumar;Jonah Roberts‐Jones;Matthew J. Martin;John P. George;V. S. Prasad,An Atmosphere–Land–Ocean Coupled Global NWP System: Performance Evaluation for Potential Operational Use,"This study assesses the influence of ocean–atmosphere coupling on short‐ and medium‐range forecasts of the July 2024 Indian summer monsoon using the newly configured coupled NCMRWF Unified Model (C‐NCUM). Forecasts are evaluated against the operational atmosphere–land model (NCUM) using GPM rainfall, OSTIA SSTs, and reanalysis‐derived moisture fields. The C‐NCUM system demonstrates improved simulation of monsoon rainfall and SST variability, with notable reductions in widespread wet biases over the western equatorial Indian Ocean (WEIO) and the Core Monsoon Zone. Enhanced representation of SST–convection interactions and moisture transport reduces the spurious low‐level convergence present in the uncoupled forecasts. SST diagnostics also reveal reduced warm biases and higher spatial correlation with observations, particularly over the WEIO. Forecast skill remains weaker over the eastern equatorial Indian Ocean. The results highlight the importance of dynamic air–sea coupling for advancing monsoon prediction capability."
10.1029/2025JD046199,True,Journal of Geophysical Research: Atmospheres,该论文研究了长江流域干旱-洪水突变的动力学机制，涉及大气环流模式和能量传递，这与大气环境遥感技术中的大气成分分析和环流监测密切相关。,"['atmospheric composition analysis', 'large-scale circulation patterns', 'baroclinic instability']",Chunxuan Zhao;Yingxiao Sun;Qianrong Ma;Hongjia Lei;Hao Wu;Zhiwei Zhu,Multiscale Dynamic Mechanisms of Drought‐Flood Abrupt Alternation Events in the Yangtze River Basin,"Drought‐flood abrupt alternation (DFAA) events have become more frequent under global warming, posing increasing risks to society and ecosystems. Using the standardized weighted average precipitation index combined with run theory, we identify DFAA events across the Yangtze River Basin (YRB) from May to September during 1961–2022. A total of 1,097 DFAA events were detected, including 89 regional events. Both types of DFAA events feature rapid transitions of less than 4 days and show frequency and enhancing intensity, particularly after 2000. Regional events occur most frequently in the middle and lower reaches of the YRB. To investigate the underlying mechanisms of regional events, the canonical transfer framework based on the multi‐scale window transform was used. Intensified positive North Atlantic Oscillation and weakened midlatitude westerlies enhance Ural blocking (UB), whose peak occurs 2–4 days before DFAA onset and creates key precursor stages. Meanwhile, intraseasonal‐scale available potential energy associated with UB propagates downstream toward the YRB. This energy transfer enhances baroclinic instability and gradually establishes a baroclinic structure over the basin. During DFAA onset, the intensified baroclinic instability combines with the convergence of cold‐dry air from the north and warm moisture transported by the westward‐extended western Pacific subtropical high. This interaction triggers an abrupt shift from drought to heavy rainfall. This study clarifies how large‐scale circulation patterns coordinate across time scales to produce DFAA in the YRB. The identified early‐stage signals provide valuable guidance for improving the prediction of these high‐impact events."
10.1029/2025JD046165,True,Journal of Geophysical Research: Atmospheres,该论文研究的是在复杂地形（如青藏高原）上模拟局地环流的三维行星边界层方案，这涉及到大气环境的数值模拟技术，与遥感技术中的大气成分分析和空气质量管理有一定关联，但并非直接涉及遥感技术本身。,"['planetary boundary layer', 'local-scale circulations', 'WRF model']",Hanying Xu;Cunbo Han;Yunshuai Zhang;Xu Zhang;Timothy W. Juliano;Yaoming Ma,Added Value of Three‐Dimensional Planetary Boundary Layer Schemes for Simulating Local‐Scale Circulations Over Complex Terrain on the Tibetan Plateau,"Complex terrain and heterogeneous land surfaces on the Tibetan Plateau (TP) induce local‐scale circulations such as mountain‐valley winds and lake‐land breezes. Most numerical models employ one‐dimensional (1D) planetary boundary layer (PBL) schemes that inadequately represent horizontal turbulent mixing, resulting in poorly represented local‐scale circulations. In contrast, three‐dimensional (3D) PBL schemes account for turbulent mixing in both the vertical and horizontal directions. In this study, we assessed the performance of six PBL schemes, including 1D and 3D schemes, in the Weather Research and Forecasting (WRF) model for simulating local‐scale circulations validated against in situ observations. The results demonstrate that 3D PBL schemes outperform 1D PBL schemes in capturing key features of local‐scale circulations. The 3D PBL schemes accurately reproduce the intensity and duration of strong afternoon winds in the Mt. Qomolangma region, as well as the vertical structure and temporal evolution of lake breezes in the Nam Co region on the TP. In the Mt. In the Qomolangma region, the 3D schemes successfully simulate the observed southwesterly afternoon winds. They achieve this by incorporating a westerly momentum component from the western slopes into the local valley wind through horizontal turbulent mixing, a process absent in 1D schemes. However, a critical limitation of 3D schemes is their excessive horizontal diffusion under stable nighttime conditions in the Nam Co region, which smooths out thermal gradients and leads to a complete failure in capturing the land breeze's defining southerly flow with wind speed increasing with height. These findings highlight that while accounting for horizontal turbulent mixing through 3D PBL schemes is essential for daytime convective boundary‐layer circulations over complex terrain, its treatment requires careful consideration during stable conditions."
10.1029/2026JD046869,True,Journal of Geophysical Research: Atmospheres,该论文研究了夏季节层大气入侵对香港的影响，涉及臭氧（O3）的传输和动力学机制，这与大气环境遥感技术中的空气质量监测和大气成分分析密切相关。,"['stratospheric O3', 'tropospheric O3', 'dynamical mechanisms', 'ozonesonde measurements', 'reanalysis data']",Yunhui Xie;Zhixiong Chen;Xiangting Zeng;Renjie Luo;Jiajia Su;Rubin Jiang;Jane Liu;Xiushu Qie;Jianchun Bian;Dan Li;Zhixuan Bai;Hongbo Zhang;Mengmiao Yang;Lei Shu;Xugeng Cheng,Stratospheric Intrusions Over Hong Kong: Key Dynamical Mechanisms in Summer,"Summertime stratospheric intrusions (SI) impacting the Pearl River Delta (PRD) differ from those in winter and spring in both intensity and transport pathways. Using long‐term ozonesonde measurements and reanalysis data, we find that stratospheric O3 is initially injected into the troposphere near 30°N, and subsequently advected far southward by anomalously strong northerlies. This unique two‐step transport mechanism is facilitated by a synoptic configuration comprising two subtropical highs, an intervening westerly trough, and, in most cases, typhoons. Composite analysis of all summertime SI episodes confirms the key dynamical ingredients identified in the case studies, and shows that these indirect SI events statistically contribute 37.2 ppbv (40.3%) to tropospheric O3 maxima in the middle troposphere. The findings underscore the complex interplay between mid‐latitude and tropical systems over summer monsoon regions, and highlight the important role of stratospheric sources in short‐term O3 variabilities in warm months."
10.1029/2026JD046923,True,Journal of Geophysical Research: Atmospheres,该论文使用植被光学深度（VOD）数据开发了一种新的植被健康指数（VHIVOD），并将其应用于澳大利亚的植被监测。虽然主要关注植被健康和干旱评估，但该研究涉及遥感技术在环境监测中的应用，特别是利用卫星观测数据（VOD）分析地表植被状况，这与大气环境遥感技术（如空气质量监测和大气成分分析）密切相关。,"['Vegetation Optical Depth', 'Vegetation Health Index', 'remote sensing', 'air quality monitoring']",Shanlei Sun;Aoge Ma;Qianxue Zu;Qianrong Ma;Yi Liu;Yibo Liu;Mengyuan Mu;Yang Zhou;Wenjian Hua;Botao Zhou;Haishan Chen,A New Vegetation Health Index Based on Vegetation Optical Depth: Development and Application in Vegetated Australia,"A solely human‐centered approach to drought assessment is inadequate. Monitoring drought from an ecological perspective is essential for developing scientifically grounded response measures, particularly in drought‐prone countries such as Australia. However, the Vegetation Health Index (VHI) may be limited in accurately representing vegetation conditions because of shortcomings in the Normalized Difference Vegetation Index (NDVI). To address this, we developed a Vegetation Optical Depth (VOD)‐based VHI (VHIVOD) by integrating long‐term harmonized VOD data sets into the conventional VHI framework. Vegetated Australia was used as a case study to evaluate the performance of VHIVOD during 1990–2024. Based on Spearman correlations with Gross Primary Production and soil moisture, VHIVOD outperformed the NDVI‐based VHI across over 70% of vegetated Australia at both national and biome levels. Although no significant long‐term trend in annual VHIVOD was detected, a significant breakpoint occurred in 2002. During 1990–2001, annual VHIVOD increased across more than 78% of vegetated Australia, with 44% showing significant increases, whereas only 19% showed significant increases during 2002–2024. Regarding vegetation drought indicators, including severity, intensity, duration, and area percentage, both vegetated Australia and most biomes experienced weakening drought conditions during both sub‐periods. Over 70% of vegetated areas experienced declines in severity, intensity, and duration, with significant weakening observed in over 39% of vegetated Australia during 1990–2001 and over 20% during 2002–2024. These findings highlighted the improved capability of VHIVOD in representing vegetation conditions and demonstrated its potential for vegetation drought monitoring under changing hydroclimatic conditions."
